,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,5,,,,,,16,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,21,,,,,,15,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2,3,3,4,,,20,,,,,,21,,,,2,3,3,4,,,,,,,,,,,,,,,,,
,,,,,,,,,,6,7,7,8,,,,,,,,,21,,,,10,1,1,11,,,,,18,,,,14,,,,,,,,
,,,,,,,,,,,,,,,,,,16,,,,21,,,,6,7,7,8,,,,2,3,4,,,13,,,,,,,,
,,,0,,17,,,,,,,,,,,,,15,,,,21,,,,,,,,,,,10,1,11,,,12,,,,,,,,
2,3,3,3,3,3,3,3,3,3,3,4,,,2,3,3,3,3,3,3,3,3,3,4,,,,,,,,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4
10,1,1,1,1,1,1,1,1,1,1,11,,,10,1,1,1,1,1,1,1,1,1,11,,,,,,,,10,1,1,1,1,1,1,1,1,1,1,1,1,1,11
