,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,20,,,,,,,19,,,,,,,,,,,,,,15,,,,,,,,,,,,,,16,,,,19,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,3,4,,,,,,,,,,,,15,,,,,,,,,,,,,,,5,,,,,,20,,,9,,,,,,,,,,,,,,,,,,15,,,,,,19,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,
,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,10,1,1,7,8,,,,,,,,,2,3,3,3,4,,,,,,,,,,,,5,,9,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,10,1,11,,19,,,,,,,,,10,1,1,1,11,,,,,,,,,,,,9,,,,,,,,,5,,,,,,,,,,,,18,,,,,,6,7,7,7,8,,,,,,,16,,20,,16,,,,,,,,,,,,,,,,14,,,,,,,,
,,,,,,,,,,,,16,,,,,,,18,,,2,3,3,3,3,4,,,,,6,7,8,,,,,18,,,,,,6,7,7,7,8,,,,,,,,,18,,,,,,,,18,,,,9,,,,,,,,,,,2,3,3,3,4,,,,,,,,,,,,,,15,,,,15,,,,,,,16,,,,18,,,,,13,,,,,,,,
,,,,,,0,,17,,,,15,,,18,,2,3,3,3,3,3,3,3,3,3,3,4,,,,,,,20,,,2,3,3,3,4,,,,,,,,,,,,2,3,3,3,3,3,4,,,,,2,3,4,,,,,,,,,,,,,,10,1,1,1,11,,,,,,,,,,,,2,3,3,3,3,3,3,3,4,,,,,15,,,2,3,3,4,,,12,,,,,,,,
2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,,,,,,,,10,1,1,1,11,,,,,,,,,,,,10,1,1,1,1,1,11,,,,,6,7,8,,,,,,,2,3,3,4,,,,10,1,1,1,11,,,,,,,,,,,,10,1,1,1,1,1,1,1,11,,,,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,,,,2,3,3,3,3,3,3,3,3,11,,,,,,,,,,,,10,1,1,1,1,1,11,,,,,,,,,,,,,,10,1,1,11,,,,10,1,1,1,11,,,,,,2,3,3,4,,,10,1,1,1,1,1,1,1,11,,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
